slug,city_name,place_name,country,[city_name_branch_name],[city_name_locale_name],[city_name_region_name],[city_name_phone_number],service_area
palmdale,Palmdale,Palmdale,US,[palmdale_branch_name],[palmdale_locale_name],[palmdale_region_name],[palmdale_phone_number],"Lancaster, Quartz Hill, Del Sur, Fairmont, Antelope Acres, Redman, Sun Village "
sanmarcos,San Diego,San Diego,US,[sandiego_branch_name],[sandiego_locale_name],[sandiego_region_name],[sandiego_phone_number],"San Diego, Escondido, Vista, Encinitas, Carlsbad "
novato,Santa Rosa,Santa Rosa,US,[santarosa_branch_name],[santarosa_locale_name],[santarosa_region_name],[santarosa_phone_number],"Ukiah, Benicia, Fort Brag, Sea Ranch, Napa, Healdsburg, Sonoma American Canyon, Petaluma, Santa Rosa"
carson,Long Beach,Long Beach,US,[longbeach_branch_name],[longbeach_locale_name],[longbeach_region_name],[longbeach_phone_number],"Long Beach, Lakewood, La Palma, San Pedro, Downey, Watts, Bellflower"
carson,Santa Monica,Santa Monica,US,[santamonica_branch_name],[santamonica_locale_name],[santamonica_region_name],[santamonica_phone_number],"Torrance, Malibu, Palos Verdes, Ranchos Palos Verdes, Rolling Hills, Hermosa Beach, Santa Monica, Wilmington, California Heights, Gardena"
carson,Malibu,Malibu,US,[malibu_branch_name],[malibu_locale_name],[malibu_region_name],[malibu_phone_number],"Lennox CA, Manhattan Beach CA, Redondo Beach CA, Malibu CA"
reno,Reno,Reno,US,[reno_branch_name],[reno_locale_name],[reno_region_name],[reno_phone_number],"Sparks, North Valleys, Lake Tahoe, Incline Village, Carson City, Kings Beach, South Lake Tahoe"
lasvegas,Las Vegas,Las Vegas,US,[lasvegas_branch_name],[lasvegas_locale_name],[lasvegas_region_name],[lasvegas_phone_number],"Sunrise Manor, Mesquite, Paradise, Spring Valley, Boulder City, Henderson, Cedar City, St. George, Pahrump"
seattle,Tacoma,Tacoma,US,[tacoma_branch_name],[tacoma_locale_name],[tacoma_region_name],[tacoma_phone_number],"Shoreline, Kent, Tacoma, Renton, Bothell,  Olympia"
seattle,Seattle ,Seattle ,US,[seattle_branch_name],[seattle_locale_name],[seattle_region_name],[seattle_phone_number],"Mercer Island, West Seattle, Wallingford, SODO, Ballard, Greenwood, Lake City"
vancouver,Vancouver,Vancouver,US,[portland_branch_name],[portland_locale_name],[portland_region_name],[portland_phone_number],"Portland, Vancouver, Camas, Beaverton, Lake Oswego, Salem "
portland,Portland,Portland,US,[vancouver_branch_name],[vancouver_locale_name],[vancouver_region_name],[vancouver_phone_number],"Oregon City OR, Gresham OR, Beaverton OR, Forest Grove OR, Tigard OR"
roseburg,Medford,Medford,US,[medford_branch_name],[medford_locale_name],[medford_region_name],[medford_phone_number]," Medford, Ashland, Roseburg, "
roseburg,Eugene,Eugene,US,[eugene_branch_name],[eugene_locale_name],[eugene_region_name],[eugene_phone_number],"Springfield, Grants Pass, Albany, Corvallis, Bend"
spokane,Tri-Cities,Tri-Cities,US,[tri-cities_branch_name],[tri-cities_locale_name],[tri-cities_region_name],[tri-cities_phone_number],"Cheney, Opportunity, Pullman, Yakima, Couer D'Alene ID, Lewiston ID, Pasco, Kennewick"
westphoenix,West Phoenix,West Phoenix,US,[westphoenix_branch_name],[westphoenix_locale_name],[westphoenix_region_name],[westphoenix_phone_number],"Surprise, Glendale, Goodyear, Buckeye, Litchfield Park, Ahwatukee, Peoria, Avondale, Carefree"
eastphoenix,East Phoenix,East Phoenix,US,[eastphoenix_branch_name],[eastphoenix_locale_name],[eastphoenix_region_name],[eastphoenix_phone_number],"Scottsdale, Tempe, Mesa, Chandler, Gilbert, Apache Junction, Queen Creek, Maricopa, Casa Grande"
tucson,Tucson,Tucson,US,[tucson_branch_name],[tucson_locale_name],[tucson_region_name],[tucson_phone_number],"Oro Valley, Vail, Green Valley, Marana, Sahuarita, Catalina, Saddlebrooke, Nogales, Rio Rico"
boise,Boise,Boise,US,[boise_branch_name],[boise_locale_name],[boise_region_name],[boise_phone_number],"Meridian, Nampa, Twin Falls, Eagle, Star, Caldwell, Kuna, McCall, Sun Valley"
marysville,Marysville,Marysville,US,[marysville_branch_name],[marysville_locale_name],[marysville_region_name],[marysville_phone_number],"Marysville, Camano Island, Everett, Mount Vernon, Bothell, Anacortes"
