slug,city_name,service_area
sanmarcos,San Diego,"San Diego, Escondido, Vista, Encinitas, Carlsbad "
novato,Santa Rosa,"Ukiah, Benicia, Fort Brag, Sea Ranch, Napa, Healdsburg, Sonoma American Canyon, Petaluma, Santa Rosa"
carson,Long Beach,"Long Beach, Lakewood, La Palma, San Pedro, Downey, Watts, Bellflower"
carson,Santa Monica,"Torrance, Malibu, Palos Verdes, Ranchos Palos Verdes, Rolling Hills, Hermosa Beach, Santa Monica, Wilmington, California Heights, Gardena"
carson,Malibu,"Lennox CA, Manhattan Beach CA, Redondo Beach CA, Malibu CA"
reno,Reno,"Sparks, North Valleys, Lake Tahoe, Incline Village, Carson City, Kings Beach, South Lake Tahoe"
lasvegas,Las Vegas,"Sunrise Manor, Mesquite, Paradise, Spring Valley, Boulder City, Henderson, Cedar City, St. George, Pahrump"
seattle,Tacoma,"Shoreline, Kent, Tacoma, Renton, Bothell,  Olympia"
seattle,Seattle ,"Mercer Island, West Seattle, Wallingford, SODO, Ballard, Greenwood, Lake City"
vancouver,Vancouver,"Portland, Vancouver, Camas, Beaverton, Lake Oswego, Salem "
portland,Portland,"Oregon City OR, Gresham OR, Beaverton OR, Forest Grove OR, Tigard OR"
roseburg,Medford," Medford, Ashland, Roseburg "
roseburg,Eugene,"Springfield, Grants Pass, Albany, Corvallis, Bend"
spokane,Tri-Cities,"Cheney, Opportunity, Pullman, Yakima, Couer D'Alene ID, Lewiston ID, Pasco, Kennewick"
westphoenix,West Phoenix,"Surprise, Glendale, Goodyear, Buckeye, Litchfield Park, Ahwatukee, Peoria, Avondale, Carefree"
eastphoenix,East Phoenix,"Scottsdale, Tempe, Mesa, Chandler, Gilbert, Apache Junction, Queen Creek, Maricopa, Casa Grande"
tucson,Tucson,"Oro Valley, Vail, Green Valley, Marana, Sahuarita, Catalina, Saddlebrooke, Nogales, Rio Rico"
boise,Boise,"Meridian, Nampa, Twin Falls, Eagle, Star, Caldwell, Kuna, McCall, Sun Valley"
marysville,Marysville,"Marysville, Camano Island, Everett, Mount Vernon, Bothell, Anacortes"
